"device","brand","model","part_name","stock_quantity","unit_cost_ksh","supplier","reorder_threshold","reorder_time_days"
"Desktop PC","HP","EliteDesk 800","Camera","175","4347","MobileFix","15","11"
"Laptop","Asus","ROG Zephyrus G14","Microphone","235","505","SmartParts Kenya","21","11"
"Desktop PC","HP","ProDesk 400","Speaker","275","3101","FixIt Supplies","23","6"
"Tablet","Huawei","MediaPad M5","Microphone","87","8514","QuickRepair","20","9"
"Tablet","Huawei","MatePad 10.4","Charging Port","280","12399","SmartParts Kenya","20","10"
"Desktop PC","Dell","XPS Desktop","Back Cover","93","1964","MobileFix","24","13"
"Desktop PC","HP","Z2 Mini","Power Button","257","11052","ElectroSpare","39","7"
"Laptop","Dell","Latitude 7420","Back Cover","139","13891","ElectroSpare","38","4"
"Laptop","HP","EliteBook 840","Battery","145","871","QuickRepair","40","3"
"Laptop","Asus","ProArt StudioBook","Camera","153","7434","ElectroSpare","24","10"
"Laptop","Lenovo","V15","Charging Port","269","5426","DigitalCare","47","8"
"Tablet","Lenovo","Tab P12","Charger","72","4103","ElectroSpare","39","13"
"Laptop","Acer","Spin 5","Charger","253","10649","TechWorld","10","7"
"Tablet","Huawei","MatePad Paper","Battery","276","4811","SmartParts Kenya","45","11"
"Laptop","Dell","Vostro 3510","Charger","203","11000","MobileFix","23","14"
"Desktop PC","HP","Pavilion 590","Speaker","296","10751","GadgetFix","30","6"
"Phone","Xiaomi","Redmi 10","Microphone","188","8213","SmartParts Kenya","34","10"
"Laptop","Asus","TUF Gaming F15","Back Cover","78","8887","GadgetFix","32","3"
"Phone","Xiaomi","11 Lite","Motherboard","281","8840","QuickRepair","29","8"
"Laptop","Asus","ExpertBook B5","Speaker","226","13320","QuickRepair","45","13"
"Desktop PC","HP","Envy Desktop","Screen","261","7567","PartsZone","20","14"
"Tablet","Samsung","Tab Active4 Pro","Power Button","188","10481","SmartParts Kenya","14","11"
"Phone","Huawei","P40","Camera","118","5853","GadgetFix","23","4"
"Tablet","Samsung","Tab A8","Charger","216","4264","GadgetFix","47","10"
"Desktop PC","Dell","Inspiron 3880","Charger","101","8811","MobileFix","27","7"
"Desktop PC","HP","Envy Desktop","Speaker","31","5709","DigitalCare","46","6"
"Tablet","Apple","iPad 8th Gen","Battery","102","7164","PartsZone","24","6"
"Tablet","Apple","iPad 10th Gen","Battery","140","6772","GadgetFix","11","6"
"Tablet","Lenovo","Tab M9","Speaker","212","11703","FixIt Supplies","47","4"
"Tablet","Apple","iPad Air 4","Charger","28","6061","DigitalCare","30","3"
"Phone","Samsung","M14","Motherboard","227","3191","PartsZone","48","12"
"Laptop","Lenovo","ThinkPad X1","Charging Port","140","3883","PartsZone","30","4"
"Phone","Huawei","Y7a","Screen","61","1633","RepairHub","26","13"
"Desktop PC","Dell","PowerEdge T40","Microphone","276","9447","ElectroSpare","23","8"
"Desktop PC","Dell","Precision 3650","Speaker","164","12169","FixIt Supplies","34","10"
"Laptop","Lenovo","Flex 5","Back Cover","196","3184","RepairHub","46","8"
"Tablet","Huawei","MatePad T10","Charging Port","87","8119","QuickRepair","28","14"
"Phone","Vivo","Y22","Battery","169","4386","PartsZone","12","11"
"Tablet","Apple","iPad 9th Gen","Microphone","201","12700","DigitalCare","21","13"
"Laptop","Asus","ROG Zephyrus G14","Charger","31","14023","SmartParts Kenya","24","14"
"Laptop","Dell","Latitude 5400","Power Button","212","13891","RepairHub","28","14"
"Phone","Huawei","P50","Motherboard","73","10576","DigitalCare","44","10"
"Laptop","Acer","Spin 5","Back Cover","62","6323","TechWorld","46","5"
"Desktop PC","Dell","Inspiron 3880","Motherboard","244","12251","PartsZone","49","11"
"Laptop","HP","Victus 16","Motherboard","242","8388","DigitalCare","37","14"
"Laptop","Dell","Alienware M15","Speaker","134","9201","GadgetFix","41","3"
"Desktop PC","Dell","Inspiron 3910","Camera","185","1351","SmartParts Kenya","16","4"
"Laptop","Asus","Chromebook C434","Battery","73","1192","DigitalCare","40","9"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Camera","159","13742","QuickRepair","34","7"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Screen","100","13450","GadgetFix","13","9"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Charging Port","238","7313","FixIt Supplies","13","4"
"Laptop","Acer","Swift 3","Back Cover","228","3839","MobileFix","36","3"
"Phone","Huawei","P40","Power Button","207","620","PartsZone","13","4"
"Laptop","HP","ProBook 450","Power Button","255","6341","DigitalCare","28","4"
"Tablet","Huawei","MatePad 10.4","Camera","213","9920","FixIt Supplies","25","3"
"Laptop","Asus","ZenBook 14","Charger","34","14594","DigitalCare","18","11"
"Desktop PC","Dell","Alienware Aurora","Charging Port","158","14635","PartsZone","43","11"
"Desktop PC","HP","OMEN 45L","Speaker","192","7369","DigitalCare","22","6"
"Laptop","Lenovo","ThinkPad X1","Camera","94","5241","QuickRepair","25","12"
"Desktop PC","Dell","XPS 8950","Camera","36","7474","SmartParts Kenya","32","3"
"Laptop","Asus","TUF Gaming F15","Charger","242","5636","SmartParts Kenya","31","9"
"Tablet","Samsung","Tab S7 FE","Camera","242","12192","MobileFix","18","3"
"Laptop","Asus","VivoBook S14","Battery","178","3075","PartsZone","42","8"
"Phone","Vivo","V25","Microphone","227","11290","FixIt Supplies","12","8"
"Desktop PC","Lenovo","IdeaCentre Gaming 5","Battery","129","12058","ElectroSpare","25","5"
"Desktop PC","Lenovo","ThinkStation P360","Battery","195","7954","RepairHub","33","11"
"Desktop PC","Dell","Vostro 3710","Power Button","294","3239","ElectroSpare","10","5"
"Tablet","Huawei","MediaPad M5","Charging Port","47","13254","FixIt Supplies","22","9"
"Laptop","Acer","Nitro 5","Speaker","295","5989","ElectroSpare","38","9"
"Phone","Vivo","Y19","Battery","58","9330","FixIt Supplies","48","12"
"Tablet","Lenovo","Tab M9","Charger","218","14292","ElectroSpare","44","4"
"Tablet","Samsung","Galaxy Tab S9","Motherboard","267","3080","DigitalCare","46","9"
"Phone","Vivo","Y27","Charging Port","143","681","GadgetFix","11","3"
"Desktop PC","Dell","XPS 8950","Charging Port","24","10770","GadgetFix","49","4"
"Desktop PC","HP","Pavilion 590","Camera","115","3737","FixIt Supplies","23","7"
"Phone","Vivo","Y36","Charging Port","84","6061","QuickRepair","16","3"
"Desktop PC","HP","Z2 Mini","Power Button","25","3666","ElectroSpare","30","13"
"Tablet","Apple","iPad 9th Gen","Motherboard","240","14637","FixIt Supplies","47","7"
"Laptop","Asus","ROG Strix","Power Button","67","9334","ElectroSpare","49","4"
"Tablet","Apple","iPad 8th Gen","Microphone","207","4870","TechWorld","35","9"
"Desktop PC","HP","Compaq 6200","Motherboard","115","5149","RepairHub","30","3"
"Laptop","Dell","G15","Screen","150","7321","DigitalCare","35","12"
"Tablet","Lenovo","Tab K10","Speaker","24","14689","TechWorld","20","8"
"Desktop PC","Dell","Precision 3650","Power Button","140","1866","SmartParts Kenya","39","3"
"Phone","Xiaomi","Poco X5","Charging Port","201","5210","DigitalCare","34","14"
"Laptop","Lenovo","Flex 5","Power Button","93","14846","FixIt Supplies","43","11"
"Desktop PC","HP","Compaq 6200","Back Cover","175","6915","FixIt Supplies","23","7"
"Phone","Xiaomi","13","Microphone","285","9314","TechWorld","24","9"
"Laptop","Dell","XPS 13","Camera","233","4725","SmartParts Kenya","34","4"
"Laptop","Asus","ZenBook Flip","Camera","83","6890","GadgetFix","17","4"
"Tablet","Lenovo","Tab P11 Pro","Screen","128","3239","RepairHub","34","3"
"Laptop","Lenovo","IdeaPad Slim 5","Screen","170","750","DigitalCare","19","4"
"Tablet","Apple","iPad Pro 11","Power Button","213","1006","QuickRepair","43","3"
"Tablet","Huawei","MatePad SE","Microphone","271","6391","PartsZone","49","5"
"Phone","Huawei","Nova 10","Charging Port","96","12937","PartsZone","11","13"
"Laptop","Acer","Chromebook 315","Speaker","263","8053","QuickRepair","15","11"
"Tablet","Huawei","MatePad T8","Camera","243","9135","TechWorld","49","3"
"Phone","Samsung","A35","Speaker","180","612","TechWorld","22","8"
"Laptop","Dell","Vostro 3510","Power Button","110","9066","FixIt Supplies","31","12"
"Desktop PC","HP","ProDesk 400","Charger","213","7412","SmartParts Kenya","41","13"
"Desktop PC","HP","OMEN 45L","Charging Port","236","13690","RepairHub","18","13"
"Phone","Vivo","Y27","Microphone","101","10057","FixIt Supplies","19","3"
"Phone","Xiaomi","13T Pro","Speaker","263","7594","TechWorld","23","12"
"Desktop PC","Lenovo","IdeaCentre 3","Power Button","141","1832","ElectroSpare","25","6"
"Phone","iPhone","11","Microphone","196","6851","RepairHub","16","11"
"Laptop","Lenovo","V15","Screen","234","6565","GadgetFix","42","7"
"Laptop","Dell","Inspiron 14","Screen","183","1688","QuickRepair","29","7"
"Laptop","HP","ZBook","Screen","222","8975","SmartParts Kenya","39","11"
"Laptop","Lenovo","Yoga Slim 7","Power Button","186","13025","ElectroSpare","43","10"
"Tablet","Huawei","MatePad T8","Screen","235","7995","PartsZone","23","11"
"Tablet","Apple","iPad 9th Gen","Camera","299","10175","MobileFix","12","11"
"Tablet","Lenovo","Tab P11","Camera","128","6831","FixIt Supplies","38","12"
"Desktop PC","Dell","Inspiron 3910","Speaker","126","4958","SmartParts Kenya","24","6"
"Desktop PC","Dell","OptiPlex 7090","Camera","188","6840","TechWorld","23","6"
"Tablet","Samsung","Tab Active4 Pro","Charging Port","28","1271","SmartParts Kenya","11","11"
"Tablet","Lenovo","Tab P12","Back Cover","247","2732","QuickRepair","50","14"
"Phone","Huawei","Nova 11","Microphone","35","14221","TechWorld","10","13"
"Phone","iPhone","15 Pro","Charging Port","215","10989","MobileFix","38","13"
"Laptop","Lenovo","Yoga 7i","Battery","166","10963","MobileFix","48","6"
"Desktop PC","HP","ProDesk 400","Screen","263","10788","ElectroSpare","45","11"
"Desktop PC","HP","ProDesk 400","Back Cover","229","4396","QuickRepair","24","3"
"Tablet","Apple","iPad Mini 5","Charging Port","52","4852","PartsZone","28","10"
"Laptop","Lenovo","ThinkBook 14","Speaker","116","7024","FixIt Supplies","11","4"
"Tablet","Lenovo","Smart Tab M10","Charger","275","11767","MobileFix","29","9"
"Desktop PC","HP","ProDesk 400","Power Button","294","8534","GadgetFix","38","4"
"Laptop","Asus","VivoBook 15","Motherboard","46","12660","DigitalCare","31","4"
"Desktop PC","Dell","PowerEdge T40","Battery","147","4485","FixIt Supplies","41","10"
"Desktop PC","Lenovo","ThinkStation P360","Screen","119","10896","RepairHub","36","4"
"Tablet","Samsung","Tab S6 Lite","Camera","232","7698","DigitalCare","45","10"
"Phone","Samsung","S24 Ultra","Charger","120","7505","DigitalCare","10","6"
"Phone","Samsung","S24 Ultra","Camera","97","12144","MobileFix","38","7"
"Tablet","Samsung","Tab S6 Lite","Charging Port","290","3504","MobileFix","46","12"
"Tablet","Samsung","Tab A9","Charging Port","25","10904","DigitalCare","38","6"
"Laptop","HP","Chromebook 14","Camera","143","4383","MobileFix","21","8"
"Phone","Samsung","Z Flip 5","Screen","165","8026","RepairHub","24","5"
"Laptop","HP","ProBook 450","Camera","200","11333","SmartParts Kenya","16","10"
"Phone","Vivo","V29","Battery","168","2908","GadgetFix","19","14"
"Laptop","Acer","Predator Helios 16","Charger","74","8093","SmartParts Kenya","23","3"
"Tablet","Lenovo","Tab K10","Speaker","89","3372","MobileFix","37","6"
"Desktop PC","Lenovo","V50t","Screen","63","9261","ElectroSpare","21","6"
"Laptop","HP","ZBook","Power Button","160","4817","FixIt Supplies","47","14"
"Desktop PC","Dell","Inspiron 3910","Speaker","287","3114","PartsZone","37","6"
"Tablet","Huawei","MatePad Paper","Charger","78","11401","SmartParts Kenya","18","12"
"Tablet","Apple","iPad Pro 12.9","Power Button","109","6944","MobileFix","30","5"
"Tablet","Samsung","Tab A7 Lite","Charging Port","41","12600","ElectroSpare","50","3"
"Laptop","Acer","Nitro 5","Microphone","211","9887","SmartParts Kenya","43","10"
"Phone","Samsung","Note 20","Power Button","58","12916","ElectroSpare","46","8"
"Phone","Huawei","Y7a","Power Button","295","1380","SmartParts Kenya","34","5"
"Phone","Vivo","V30","Screen","254","10821","PartsZone","19","4"
"Phone","Xiaomi","13T Pro","Battery","283","11113","FixIt Supplies","22","10"
"Desktop PC","Lenovo","ThinkStation P340","Charging Port","155","857","QuickRepair","37","7"
"Laptop","Lenovo","Yoga Slim 7","Charger","242","4640","MobileFix","17","9"
"Laptop","Asus","ExpertBook B5","Power Button","140","5599","QuickRepair","38","12"
"Phone","Xiaomi","12T","Charger","142","3687","MobileFix","28","11"
"Desktop PC","HP","Pavilion 590","Charging Port","299","13353","MobileFix","34","12"
"Desktop PC","Lenovo","ThinkStation P360","Speaker","186","7303","RepairHub","18","12"
"Phone","Xiaomi","11 Lite","Power Button","45","5255","DigitalCare","19","9"
"Desktop PC","Lenovo","V50t","Speaker","139","1719","MobileFix","16","9"
"Desktop PC","Dell","Alienware Aurora","Speaker","84","11966","PartsZone","18","11"
"Phone","Huawei","Y7a","Camera","189","6967","DigitalCare","43","4"
"Laptop","HP","ZBook","Microphone","216","8159","RepairHub","30","12"
"Phone","Huawei","Nova 11","Charging Port","263","14687","RepairHub","31","12"
"Tablet","Lenovo","Tab M10","Power Button","224","14024","FixIt Supplies","37","12"
"Desktop PC","Dell","Inspiron 3910","Camera","176","11644","GadgetFix","30","8"
"Laptop","Asus","ZenBook Flip","Charging Port","34","11702","GadgetFix","42","3"
"Phone","iPhone","15","Microphone","90","568","SmartParts Kenya","40","8"
"Tablet","Apple","iPad Air 4","Charger","260","11206","QuickRepair","26","6"
"Phone","iPhone","13 Mini","Battery","188","7539","ElectroSpare","34","12"
"Phone","Samsung","S22","Battery","178","10046","GadgetFix","10","4"
"Desktop PC","Lenovo","ThinkCentre Neo 50","Back Cover","177","7913","MobileFix","34","10"
"Phone","iPhone","13","Charger","262","4640","SmartParts Kenya","15","4"
"Phone","Samsung","A55","Charger","42","12197","QuickRepair","41","7"
"Laptop","Lenovo","V15","Battery","285","1521","DigitalCare","13","13"
"Laptop","HP","Omen 17","Speaker","279","2799","SmartParts Kenya","20","4"
"Phone","Samsung","A73","Charger","62","9275","QuickRepair","24","13"
"Tablet","Samsung","Tab A9","Screen","271","14075","TechWorld","15","13"
"Laptop","HP","ProBook 450","Power Button","112","4926","DigitalCare","32","4"
"Tablet","Huawei","MatePad Pro","Charging Port","258","2000","FixIt Supplies","48","12"
"Laptop","Acer","Aspire 5","Speaker","95","12181","SmartParts Kenya","35","4"
"Laptop","Asus","VivoBook 15","Charger","168","13046","GadgetFix","24","13"
"Tablet","Huawei","MatePad Pro","Camera","245","1470","FixIt Supplies","43","9"
"Laptop","HP","Envy x360","Camera","269","3219","DigitalCare","50","3"
"Tablet","Lenovo","Tab M9","Speaker","182","3160","SmartParts Kenya","10","4"
"Phone","Vivo","Y21","Charger","208","14730","ElectroSpare","20","9"
"Phone","iPhone","13 Mini","Charger","224","1235","ElectroSpare","12","3"
"Phone","Vivo","Y27","Power Button","81","14008","RepairHub","20","5"
"Laptop","Lenovo","V15","Speaker","222","13482","GadgetFix","39","13"
"Phone","Vivo","V25","Screen","121","3947","DigitalCare","20","8"
"Desktop PC","Dell","XPS 8950","Screen","24","5532","DigitalCare","37","13"
"Phone","Samsung","Z Flip 5","Microphone","27","5991","PartsZone","37","13"
"Phone","iPhone","14 Pro","Microphone","27","8788","GadgetFix","18","14"
"Tablet","Samsung","Galaxy Tab S9","Power Button","127","1004","QuickRepair","13","12"
"Desktop PC","Dell","OptiPlex 7090","Power Button","59","14545","QuickRepair","17","9"
"Tablet","Apple","iPad Air 4","Camera","104","13361","MobileFix","29","13"
"Laptop","HP","ProBook 450","Speaker","281","13032","GadgetFix","17","14"
"Laptop","Lenovo","Yoga 7i","Battery","167","7243","MobileFix","42","7"
"Desktop PC","Dell","OptiPlex 5090","Microphone","215","12414","GadgetFix","33","13"
"Laptop","Asus","Chromebook C434","Charger","258","12699","ElectroSpare","10","4"
"Laptop","Asus","ZenBook 14","Battery","26","854","QuickRepair","26","14"
"Tablet","Apple","iPad Air 5","Back Cover","280","12233","TechWorld","14","3"
"Laptop","Dell","Latitude 5400","Motherboard","172","8437","MobileFix","20","9"
"Tablet","Lenovo","Tab P11","Charger","76","7208","QuickRepair","34","13"
"Laptop","Dell","Latitude 7420","Charger","67","13765","PartsZone","48","9"
"Desktop PC","HP","Envy Desktop","Charger","150","11604","GadgetFix","35","8"
"Tablet","Lenovo","Tab P12","Back Cover","283","6008","TechWorld","41","14"
"Tablet","Apple","iPad Air 5","Charging Port","263","5077","ElectroSpare","18","9"
"Phone","Vivo","V25","Speaker","215","9118","RepairHub","24","11"
"Laptop","Lenovo","IdeaPad Slim 5","Charger","185","5371","PartsZone","40","3"
"Tablet","Lenovo","Tab P12","Battery","222","7321","FixIt Supplies","15","7"
"Phone","Vivo","Y22","Camera","288","7347","PartsZone","23","5"
"Tablet","Samsung","Tab S8","Charging Port","205","6551","RepairHub","28","10"
"Tablet","Samsung","Tab S7 FE","Screen","77","4707","GadgetFix","21","11"
"Laptop","HP","Stream 14","Charging Port","116","13867","ElectroSpare","27","11"
"Phone","Samsung","A15","Power Button","132","6107","RepairHub","42","7"
"Desktop PC","Lenovo","ThinkCentre M90","Charging Port","28","11327","DigitalCare","28","4"
"Desktop PC","Lenovo","IdeaCentre 5","Speaker","221","5064","PartsZone","10","4"
"Tablet","Lenovo","Smart Tab M10","Charging Port","263","13837","ElectroSpare","19","14"
"Laptop","Asus","ROG Strix","Camera","50","13351","MobileFix","40","10"
"Desktop PC","HP","Pavilion 590","Screen","233","9513","MobileFix","39","6"
"Desktop PC","HP","Compaq 6200","Motherboard","133","5806","PartsZone","35","10"
"Laptop","Lenovo","IdeaPad Slim 5","Speaker","183","10404","FixIt Supplies","17","8"
"Tablet","Huawei","MatePad Paper","Back Cover","124","5559","DigitalCare","44","14"
"Desktop PC","Lenovo","IdeaCentre 3","Motherboard","36","8886","MobileFix","19","12"
"Desktop PC","Lenovo","ThinkStation P360","Screen","205","6783","SmartParts Kenya","33","14"
"Phone","Samsung","A55","Charging Port","216","11888","TechWorld","20","13"
"Tablet","Huawei","MatePad 11","Motherboard","143","11201","GadgetFix","40","13"
"Laptop","HP","ZBook","Charging Port","189","13316","QuickRepair","39","8"
"Laptop","Asus","ZenBook 14","Back Cover","151","7187","ElectroSpare","44","3"
"Phone","Xiaomi","13","Microphone","161","13112","QuickRepair","39","12"
"Desktop PC","Dell","Inspiron 3880","Camera","58","8548","ElectroSpare","34","9"
"Laptop","Acer","Aspire 5","Screen","35","13552","DigitalCare","39","12"
"Desktop PC","Dell","PowerEdge T40","Charging Port","95","7999","RepairHub","32","3"
"Desktop PC","Dell","Precision 3650","Back Cover","199","11518","ElectroSpare","41","13"
"Desktop PC","Dell","PowerEdge T40","Microphone","20","11169","SmartParts Kenya","49","9"
"Desktop PC","Dell","OptiPlex 5090","Motherboard","86","10719","TechWorld","34","10"
"Desktop PC","Dell","XPS 8950","Charging Port","162","4285","SmartParts Kenya","22","9"
"Phone","Vivo","Y27","Charging Port","179","6851","DigitalCare","20","7"
"Laptop","Lenovo","ThinkPad X1","Battery","88","9399","SmartParts Kenya","10","11"
"Phone","Huawei","P40","Power Button","220","8018","QuickRepair","30","11"
"Tablet","Huawei","MatePad Pro","Screen","287","502","TechWorld","37","5"
"Laptop","HP","Envy x360","Back Cover","82","10071","MobileFix","45","7"
"Phone","Xiaomi","12T","Motherboard","211","12761","TechWorld","16","13"
"Phone","Vivo","Y21","Power Button","148","8027","RepairHub","17","11"
"Desktop PC","Lenovo","IdeaCentre 3","Battery","300","14601","QuickRepair","25","7"
"Phone","Vivo","Y22","Motherboard","114","4709","QuickRepair","43","10"
"Tablet","Samsung","Tab A9","Charging Port","55","3251","QuickRepair","30","9"
"Desktop PC","Dell","OptiPlex 7090","Battery","30","12992","SmartParts Kenya","28","11"
"Laptop","Acer","Predator Triton","Microphone","21","11074","QuickRepair","47","4"
"Laptop","HP","ProBook 450","Charger","170","12905","FixIt Supplies","31","11"
"Desktop PC","Lenovo","Yoga AIO 7","Power Button","192","12337","RepairHub","47","12"
"Desktop PC","Lenovo","ThinkCentre M90","Charging Port","214","14883","QuickRepair","42","9"